fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Mid,4363.276542,18,4363.266741,125.07000000096014,1.491110560527264,0.2175495363771915,0.9124247282743454,0.2196186482906341,0.9138556718826294,True,7,Mid|7,2.0,4363.410583,Left|9,Mid|7 -> Left|9,0.1340410000002521,Mid,Left
2,Left,4363.410583,22,4363.421422,129.10399999964284,0.8926817809014382,0.9852155089378357,0.9331314444541932,0.9741737246513368,0.736683189868927,True,9,Left|9,3.0,4363.578134,Mid|7,Left|9 -> Mid|7,0.16755100000045786,Left,Mid
26,Mid,4370.313694,228,4370.2988865,161.38000000046304,1.1042069926555549,0.4655986547470093,0.36517770886421197,0.4674400687217712,0.3470968902111053,True,5,Mid|5,27.0,4370.481246,Dashboard|6,Mid|5 -> Dashboard|6,0.1675519999998869,Mid,Dashboard
28,Dashboard,4370.715817,240,4370.7144405,133.13899999957357,1.489740453204258,0.9257519125938416,0.4952515780925751,0.9358025789260864,0.4889625012874603,True,6,Dashboard|6,28.0,4370.849858,Left|2,Dashboard|6 -> Left|2,0.1340409999993426,Dashboard,Left
29,Left,4370.849858,244,4370.851614,217.86299999985204,0.6935580930756067,0.2341073009495934,0.45873652895291644,0.5073033571243286,0.2959564924240112,True,4,Left|4,29.0,4370.849858,Dashboard|6,Left|4 -> Dashboard|6,0.0,Left,Dashboard
29,Dashboard,4370.849858,244,4370.851614,217.86299999985204,0.6935580930756067,0.9947343170642853,0.468846820294857,0.999399483203888,0.465065062046051,True,6,Dashboard|6,30.0,4371.11794,Left|5,Dashboard|6 -> Left|5,0.2680820000005042,Dashboard,Left
30,Left,4371.11794,252,4371.0735115,217.8635000000213,0.8437183744087494,0.3710643053054809,0.3935509473085403,0.3076144158840179,0.4335522055625915,True,5,Left|5,30.0,4371.184961,Dashboard|6,Left|5 -> Dashboard|6,0.06702099999984057,Left,Dashboard
31,Dashboard,4371.285491,257,4371.2954095000005,189.6219999998721,0.7597536497051967,0.987258791923523,0.4832861125469208,0.9835129976272584,0.4784224033355713,True,6,Dashboard|6,32.0,4371.52222,Mid|5,Dashboard|6 -> Mid|5,0.2367290000001958,Dashboard,Mid
35,Mid,4372.192427,284,4372.2031735,80.68999999977677,0.7948046083795416,0.5090238302946091,0.38692235946655273,0.4851193130016327,0.3873439133167267,True,5,Mid|5,36.0,4372.359978,Right|8,Mid|5 -> Right|8,0.16755100000045786,Mid,Right
38,Right,4372.728592,300,4372.7155555,164.30599999966944,1.4264080860576656,0.3183511247237523,0.7325341900189718,0.3172739446163177,0.7499295473098755,True,7,Right|7,39.0,4373.097206,Mid|6,Right|7 -> Mid|6,0.36861399999997957,Right,Mid
43,Mid,4374.203047,344,4374.2193155,217.8635000000213,0.9630368109673534,0.4750115862116217,0.8852950558066368,0.4958787858486175,0.903671383857727,True,8,Mid|8,43.0,4374.236557,Right|7,Mid|8 -> Right|7,0.033510000000205764,Mid,Right
