fixationid,aoi_id,world_timestamp
204,Mid|5,546.358298
205,Mid|5,546.559361
206,Mid|5,546.737434
207,Mid|5,546.938502
208,Mid|5,547.106058
209,Mid|5,547.340637
210,Mid|5,547.575216
211,Mid|5,547.776283
212,Mid|5,547.910328
213,Mid|5,548.111396
214,Mid|5,548.345975
214,Left|3,548.379486
215,Mid|5,548.580554
216,Mid|5,548.74811
217,Mid|5,548.982689
218,Mid|5,549.183756
219,Mid|5,549.418335
220,Mid|5,549.619403
221,Mid|5,549.853982
222,Mid|5,550.088561
222,Left|8,550.155583
223,Mid|5,550.289628
224,Mid|5,550.490696
225,Mid|2,550.993365
226,Mid|5,551.227944
227,Mid|5,551.429011
228,Mid|5,551.66359
229,Mid|5,551.93168
230,Mid|5,552.19977
231,Mid|5,552.300304
232,Mid|5,552.501372
233,Mid|5,552.73595
234,Mid|5,552.937018
234,Left|8,553.171597
235,Left|8,553.171597
235,Mid|5,553.171597
236,Mid|5,553.305642
237,Mid|5,553.50671
238,Mid|5,553.741288
239,Mid|5,553.942356
240,Mid|5,554.176935
240,Left|6,554.210446
241,Mid|5,554.277469
242,Mid|5,554.411514
243,Mid|5,554.646093
244,Mid|5,554.880671
245,Mid|5,554.947694
246,Mid|5,555.182273
247,Mid|5,555.316318
248,Mid|5,555.517385
249,Mid|5,555.751964
250,Mid|5,555.953032
251,Mid|5,556.087077
252,Mid|5,556.288145
253,Mid|5,556.455701
254,Mid|5,556.69028
255,Mid|5,556.991881
256,Mid|5,557.192949
257,Mid|5,557.427528
258,Mid|5,557.662106
259,Mid|5,557.896685
260,Mid|5,558.03073
261,Mid|5,558.265309
262,Mid|5,558.365843
263,Mid|5,558.667444
264,Mid|5,558.868512
265,Mid|5,559.002557
265,Left|1,559.170113
266,Mid|5,559.237136
267,Mid|5,559.471715
268,Mid|5,559.538737
269,Mid|5,559.739805
270,Mid|5,559.974384
271,Mid|5,560.175451
272,Mid|5,560.41003
273,Mid|5,560.544075
274,Mid|2,560.745143
275,Dashboard|5,561.013233
276,Dashboard|4,561.180789
277,Mid|5,561.415368
278,Mid|5,561.515902
279,Mid|5,561.750481
280,Mid|5,561.918037
281,Mid|5,562.320172
282,Mid|5,562.554751
283,Mid|5,562.755819
284,Dashboard|4,562.956886
285,Dashboard|4,563.157954
286,Mid|5,563.32551
287,Mid|5,563.392533
288,Mid|5,563.627111
289,Mid|5,563.828179
290,Mid|5,564.062758
291,Mid|5,564.196803
292,Mid|5,564.431382
293,Mid|5,564.632449
294,Mid|5,565.001073
295,Mid|5,565.202141
296,Mid|5,565.43672
297,Mid|5,565.570765
297,Left|3,565.738321
298,Mid|5,565.805344
299,Mid|5,566.039923
300,Mid|5,566.24099
301,Mid|5,566.475569
302,Mid|5,566.710148
303,Mid|5,566.911215
304,Mid|5,567.145794
305,Mid|5,567.346862
306,Mid|5,567.581441
307,Mid|5,567.81602
308,Mid|5,568.017087
309,Mid|5,568.251666
309,Left|2,568.3522
310,Mid|5,568.486245
311,Mid|5,568.687312
312,Mid|5,568.921891
313,Mid|5,569.122959
314,Mid|5,569.357538
315,Mid|5,569.592117
316,Mid|5,569.793184
317,Mid|5,570.027763
318,Mid|5,570.262342
319,Mid|5,570.463409
320,Mid|5,570.697988
321,Mid|5,570.899056
322,Mid|5,571.133635
323,Mid|5,571.401725
324,Mid|5,571.636304
325,Mid|5,571.870883
326,Mid|5,572.07195
326,Left|3,572.273018
327,Mid|5,572.306529
328,Mid|5,572.507597
329,Mid|5,572.742175
329,Left|8,572.775687
330,Mid|5,572.976754
331,Mid|5,573.177822
332,Mid|5,573.412401
333,Mid|5,573.64698
334,Mid|5,573.848047
335,Mid|5,574.082626
336,Mid|5,574.283694
337,Mid|5,574.518272
338,Mid|5,574.819874
339,Mid|5,574.920408
340,Mid|5,575.087964
341,Mid|5,575.289032
342,Mid|5,575.490099
343,Mid|5,575.691167
344,Mid|5,575.925746
345,Mid|5,576.126813
345,Left|2,576.260858
346,Mid|5,576.394903
347,Mid|5,576.629482
348,Mid|5,576.864061
349,Mid|5,577.065129
350,Mid|5,577.299707
351,Mid|5,577.500775
352,Mid|5,577.735354
353,Mid|5,577.969933
354,Mid|5,578.171
355,Mid|5,578.405579
356,Mid|5,578.573135
357,Mid|5,578.841226
358,Mid|5,578.908248
359,Mid|5,579.142827
360,Mid|5,579.377406
361,Mid|5,579.578473
361,Left|3,579.679007
362,Mid|5,579.74603
363,Mid|5,579.880075
364,Mid|5,580.081142
365,Mid|5,580.315721
365,Left|8,580.516789
366,Mid|5,580.583811
366,Left|8,580.784879
367,Left|8,580.784879
367,Mid|5,580.784879
368,Mid|5,581.019458
369,Mid|2,581.254037
370,Mid|2,581.455104
370,Left|5,581.488615
371,Mid|2,581.656172
372,Mid|2,581.890751
373,Mid|2,582.091818
374,Mid|2,582.326397
375,Mid|5,582.560976
376,Mid|5,582.728532
377,Mid|5,582.963111
378,Mid|2,583.19769
379,Mid|2,583.46578
380,Mid|2,583.700359
381,Mid|2,583.934938
382,Mid|2,584.136005
383,Mid|2,584.370584
384,Mid|2,584.538141
385,Mid|2,584.772719
386,Mid|2,584.940276
387,Mid|2,585.141343
387,Left|8,585.3089
388,Mid|2,585.375922
389,Mid|2,585.57699
390,Mid|2,585.811569
391,Mid|5,585.912102
391,Left|3,585.945614
392,Mid|5,586.11317
393,Mid|2,586.347749
394,Mid|2,586.548816
395,Mid|2,586.783395
396,Mid|5,587.017974
397,Mid|5,587.084997
398,Mid|2,587.319576
399,Mid|2,587.554154
400,Mid|5,587.721711
400,Left|9,587.95629
401,Left|9,587.95629
401,Mid|2,587.95629
402,Mid|5,588.090335
403,Mid|5,588.291402
404,Mid|5,588.525981
404,Left|3,588.76056
405,Left|3,588.76056
405,Mid|5,588.76056
406,Mid|5,589.129184
407,Mid|5,589.330251
408,Mid|5,589.56483
409,Mid|5,589.799409
410,Mid|5,590.000477
411,Mid|5,590.235056
412,Mid|5,590.469634
412,Left|8,590.570168
413,Mid|5,590.670702
414,Mid|5,590.905281
414,Left|3,590.905281
413,Left|3,590.905281
415,Mid|5,591.13986
416,Mid|5,591.340927
417,Mid|5,591.575506
417,Left|8,591.709551
418,Mid|5,591.743062
419,Mid|5,591.94413
420,Mid|5,592.178709
421,Mid|5,592.413288
422,Mid|5,592.614355
423,Mid|5,592.7484
424,Mid|5,592.848934
424,Left|3,592.982979
425,Mid|5,593.050002
425,Left|3,593.083513
426,Mid|5,593.284581
426,Left|8,593.418626
427,Mid|5,593.519159
428,Mid|5,593.753738
429,Mid|5,593.921295
430,Mid|2,594.05534
431,Mid|2,594.289919
432,Mid|5,594.457475
433,Mid|5,594.692054
434,Dashboard|5,594.826099
435,Dashboard|4,594.960144
436,Mid|5,595.161211
437,Mid|5,595.295256
437,Left|8,595.496324
438,Mid|5,595.529835
439,Mid|5,595.730903
440,Mid|5,595.965482
441,Mid|5,596.200061
442,Mid|2,596.401128
443,Mid|5,596.635707
444,Mid|5,596.836775
445,Mid|5,597.071354
445,Left|2,597.104865
446,Mid|5,597.272421
447,Mid|5,597.507
448,Mid|5,597.741579
449,Mid|5,597.942646
450,Mid|5,598.177225
451,Mid|5,598.57936
452,Mid|5,598.780428
453,Mid|5,599.015007
454,Mid|5,599.249586
455,Mid|5,599.417142
456,Mid|2,599.651721
457,Mid|5,599.8863
458,Mid|5,600.020345
459,Mid|5,600.187901
460,Mid|5,600.42248
461,Mid|5,600.623548
462,Mid|5,600.757593
463,Mid|5,600.95866
464,Mid|5,601.193239
465,Mid|5,601.394307
466,Mid|5,601.628886
467,Mid|5,601.829953
468,Mid|5,602.064532
469,Mid|5,602.399645
470,Mid|5,602.600712
471,Mid|5,602.835291
472,Mid|5,603.036359
473,Mid|5,603.270937
474,Mid|5,603.505516
475,Mid|5,603.706584
476,Mid|5,603.941163
477,Mid|5,604.14223
478,Mid|5,604.376809
479,Mid|5,604.577877
480,Left|3,604.812456
479,Left|3,604.812456
480,Mid|4,604.812456
481,Mid|4,605.047034
481,Left|2,605.114057
482,Mid|5,605.248102
483,Mid|5,605.382147
483,Left|3,605.482681
484,Mid|2,605.482681
484,Left|3,605.482681
485,Left|3,605.71726
485,Mid|2,605.71726
486,Mid|5,605.884816
487,Mid|5,606.052372
488,Mid|5,606.152906
489,Mid|2,606.387485
490,Mid|3,606.622064
491,Mid|2,606.78962
492,Mid|2,606.957177
493,Mid|3,607.17571
494,Mid|2,607.309759
495,Mid|2,607.510833
496,Mid|2,607.678394
497,Mid|2,607.812443
498,Mid|1,607.879468
498,Left|3,608.04703
499,Mid|1,608.114054
500,Mid|1,608.34864
501,Mid|2,608.449177
502,Mid|2,608.549714
503,Mid|1,608.717276
504,Mid|1,608.817812
505,Mid|1,608.918349
506,Mid|1,609.018886
507,Mid|2,609.085911
508,Mid|2,609.286985
509,Mid|2,609.387522
510,Mid|2,609.521571
511,Mid|3,609.722645
512,Mid|3,609.823182
513,Mid|2,610.057768
513,Right|4,610.124792
514,Mid|2,610.292354
515,Mid|3,610.392891
516,Mid|2,611.197186
517,Mid|2,611.39826
518,Mid|2,611.498797
519,Mid|2,611.599333
520,Mid|2,611.69987
521,Mid|2,611.900944
522,Mid|3,611.967969
523,Mid|3,612.202555
524,Mid|3,612.403629
525,Mid|3,612.638215
526,Mid|3,612.839289
527,Mid|3,612.939826
528,Mid|3,613.00685
529,Mid|3,613.174412
530,Mid|2,613.308461
531,Mid|2,613.543047
532,Mid|2,613.811145
533,Mid|2,614.146268
534,Mid|2,614.213293
535,Mid|2,614.31383
536,Mid|2,614.414367
537,Mid|2,614.548416
538,Mid|2,614.715978
539,Mid|2,614.816514
540,Mid|6,614.984076
541,Mid|3,615.084613
542,Mid|3,615.18515
543,Mid|5,615.285687
544,Mid|6,615.419736
545,Mid|6,615.788371
546,Mid|2,616.123494
