from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Mid,Mid,79608.306708,79608.507774,0.20106599999417085
Mid,Mid,79608.507774,79608.742352,0.23457800000323914
Mid,Mid,79608.742352,79608.943418,0.20106599999417085
Mid,Mid,79608.943418,79609.177995,0.23457700001017656
Mid,Mid,79609.177995,79609.412572,0.23457699999562465
Mid,Mid,79609.412572,79609.613638,0.20106599999417085
Mid,Mid,79609.613638,79609.848216,0.23457800000323914
Mid,Left,79609.848216,79609.948749,0.10053300000436138
Left,Dashboard,79609.948749,79610.082793,0.13404399999126326
Dashboard,Mid,79610.082793,79610.31737,0.23457700001017656
Mid,Mid,79610.31737,79610.417903,0.10053299998980947
Mid,Mid,79610.417903,79610.618969,0.20106600000872277
Mid,Mid,79610.618969,79610.786524,0.16755499999271706
Mid,Mid,79610.786524,79610.987591,0.20106700000178535
Mid,Right,79610.987591,79611.054613,0.06702200000290759
Right,Mid,79611.054613,79611.188657,0.13404400000581518
Mid,Mid,79611.188657,79611.423234,0.23457699999562465
Mid,Mid,79611.423234,79611.557278,0.13404399999126326
Mid,Mid,79611.557278,79611.657811,0.10053300000436138
Mid,Mid,79611.657811,79611.95941,0.30159899999853224
Mid,Mid,79611.95941,79612.26101,0.30160000000614673
Mid,Dashboard,79612.26101,79612.696653,0.4356430000043474
Dashboard,Left,79612.696653,79612.696653,0.0
Left,Dashboard,79612.696653,79612.964741,0.26808799999707844
Dashboard,Mid,79612.964741,79613.165808,0.20106700000178535
Mid,Mid,79613.165808,79613.23283,0.06702199998835567
Mid,Mid,79613.23283,79613.400385,0.16755500000726897
Mid,Mid,79613.400385,79613.90305,0.5026649999927031
Mid,Mid,79613.90305,79614.137627,0.23457700001017656
Mid,Mid,79614.137627,79614.338694,0.20106700000178535
Mid,Left,79614.338694,79614.372205,0.033511000001453795
Left,Mid,79614.372205,79614.53976,0.16755499999271706
Mid,Mid,79614.53976,79614.774337,0.23457699999562465
Mid,Mid,79614.774337,79615.008914,0.23457700001017656
Mid,Mid,79615.008914,79615.20998,0.20106599999417085
Mid,Mid,79615.20998,79615.411047,0.20106700000178535
Mid,Mid,79615.411047,79615.612113,0.20106599999417085
Mid,Mid,79615.612113,79615.84669,0.23457700001017656
Mid,Dashboard,79615.84669,79616.047756,0.20106599999417085
Dashboard,Dashboard,79616.047756,79616.1818,0.13404400000581518
Dashboard,Mid,79616.1818,79616.349355,0.16755499999271706
Mid,Mid,79616.349355,79616.483399,0.13404400000581518
Mid,Mid,79616.483399,79616.650955,0.16755600000033155
Mid,Mid,79616.650955,79616.885532,0.23457699999562465
Mid,Mid,79616.885532,79617.120109,0.23457699999562465
Mid,Mid,79617.120109,79617.321175,0.20106600000872277
Mid,Left,79617.321175,79617.555752,0.23457699999562465
Left,Left,79617.555752,79617.555752,0.0
Left,Mid,79617.555752,79617.555752,0.0
Mid,Mid,79617.555752,79617.656286,0.10053399999742396
Mid,Mid,79617.656286,79617.857352,0.20106600000872277
Mid,Mid,79617.857352,79618.058418,0.20106599999417085
Mid,Mid,79618.058418,79618.259484,0.20106599999417085
Mid,Mid,79618.259484,79618.494061,0.23457700001017656
Mid,Mid,79618.494061,79618.896194,0.4021329999959562
Mid,Dashboard,79618.896194,79619.197793,0.30159899999853224
Dashboard,Dashboard,79619.197793,79619.43237,0.23457699999562465
Dashboard,Mid,79619.43237,79619.599925,0.16755500000726897
Mid,Right,79619.599925,79619.633436,0.033511000001453795
Right,Mid,79619.633436,79619.666947,0.033511000001453795
Mid,Mid,79619.666947,79619.901525,0.23457799998868722
Mid,Mid,79619.901525,79620.136102,0.23457700001017656
Mid,Mid,79620.136102,79620.236635,0.10053299998980947
Mid,Mid,79620.236635,79620.471212,0.23457700001017656
Mid,Mid,79620.471212,79620.672278,0.20106599999417085
Mid,Mid,79620.672278,79620.906855,0.23457699999562465
Mid,Mid,79620.906855,79621.141433,0.23457800000323914
Mid,Mid,79621.141433,79621.342499,0.20106600000872277
Mid,Mid,79621.342499,79621.577076,0.23457699999562465
Mid,Mid,79621.577076,79621.71112,0.13404400000581518
Mid,Mid,79621.71112,79621.945697,0.23457699999562465
Mid,Mid,79621.945697,79622.180275,0.23457800000323914
Mid,Dashboard,79622.180275,79622.280808,0.10053299998980947
Dashboard,Mid,79622.280808,79622.548896,0.26808799999707844
Mid,Mid,79622.548896,79622.749962,0.20106600000872277
Mid,Mid,79622.749962,79622.984539,0.23457699999562465
Mid,Mid,79622.984539,79623.219117,0.23457800000323914
Mid,Mid,79623.219117,79623.554227,0.33510999999998603
Mid,Mid,79623.554227,79623.755293,0.20106599999417085
Mid,Mid,79623.755293,79623.98987,0.23457700001017656
Mid,Mid,79623.98987,79624.190936,0.20106599999417085
Mid,Mid,79624.190936,79624.425514,0.23457800000323914
Mid,Mid,79624.425514,79624.593069,0.16755499999271706
Mid,Mid,79624.593069,79624.794135,0.20106600000872277
Mid,Mid,79624.794135,79625.028712,0.23457699999562465
Mid,Mid,79625.028712,79625.263289,0.23457699999562465
Mid,Mid,79625.263289,79625.464356,0.20106700000178535
Mid,Mid,79625.464356,79626.201598,0.7372420000028796
Mid,Mid,79626.201598,79626.436175,0.23457699999562465
Mid,Mid,79626.436175,79626.670753,0.23457800000323914
Mid,Mid,79626.670753,79626.838308,0.16755500000726897
Mid,Mid,79626.838308,79627.072885,0.23457699999562465
Mid,Mid,79627.072885,79627.273951,0.20106599999417085
Mid,Left,79627.273951,79627.340973,0.06702200000290759
Left,Mid,79627.340973,79627.508528,0.16755500000726897
Mid,Mid,79627.508528,79627.743106,0.23457799998868722
Mid,Dashboard,79627.743106,79627.910661,0.16755500000726897
Dashboard,Mid,79627.910661,79628.178749,0.26808799999707844
Mid,Mid,79628.178749,79628.413326,0.23457699999562465
Mid,Mid,79628.413326,79628.614392,0.20106600000872277
Mid,Mid,79628.614392,79628.84897,0.23457800000323914
Mid,Mid,79628.84897,79629.050036,0.20106599999417085
Mid,Mid,79629.050036,79629.217591,0.16755499999271706
Mid,Mid,79629.217591,79629.385146,0.16755500000726897
Mid,Mid,79629.385146,79629.619723,0.23457699999562465
Mid,Mid,79629.619723,79629.787278,0.16755500000726897
Mid,Mid,79629.787278,79629.988345,0.20106700000178535
Mid,Mid,79629.988345,79630.222922,0.23457699999562465
Mid,Mid,79630.222922,79630.457499,0.23457699999562465
Mid,Mid,79630.457499,79630.658565,0.20106600000872277
Mid,Mid,79630.658565,79631.12772,0.4691549999988638
Mid,Mid,79631.12772,79631.228253,0.10053299998980947
Mid,Dashboard,79631.228253,79631.46283,0.23457700001017656
Dashboard,Mid,79631.46283,79631.697407,0.23457699999562465
Mid,Mid,79631.697407,79631.931984,0.23457699999562465
Mid,Mid,79631.931984,79632.367628,0.4356440000119619
Mid,Mid,79632.367628,79632.468161,0.10053299998980947
Mid,Mid,79632.468161,79632.702738,0.23457700001017656
Mid,Mid,79632.702738,79632.870293,0.16755499999271706
Mid,Mid,79632.870293,79633.037848,0.16755500000726897
Mid,Mid,79633.037848,79633.339448,0.3015999999915948
Mid,Mid,79633.339448,79633.473492,0.13404400000581518
Mid,Mid,79633.473492,79633.641047,0.16755499999271706
Mid,Right,79633.641047,79633.875624,0.23457699999562465
Right,Right,79633.875624,79633.875624,0.0
Right,Mid,79633.875624,79633.875624,0.0
Mid,Mid,79633.875624,79634.110201,0.23457700001017656
Mid,Mid,79634.110201,79634.311267,0.20106599999417085
Mid,Mid,79634.311267,79634.545845,0.23457800000323914
Mid,Dashboard,79634.545845,79634.7134,0.16755499999271706
Dashboard,Dashboard,79634.7134,79634.914466,0.20106600000872277
Dashboard,Mid,79634.914466,79635.216065,0.30159899999853224
Mid,Mid,79635.216065,79635.417131,0.20106599999417085
Mid,Mid,79635.417131,79635.651709,0.23457800000323914
Mid,Right,79635.651709,79635.785753,0.13404400000581518
Right,Mid,79635.785753,79636.02033,0.23457699999562465
Mid,Mid,79636.02033,79636.254907,0.23457699999562465
Mid,Mid,79636.254907,79636.388951,0.13404400000581518
Mid,Mid,79636.388951,79636.65704,0.26808900000469293
Mid,Mid,79636.65704,79636.925128,0.26808799999707844
Mid,Mid,79636.925128,79637.159705,0.23457699999562465
Mid,Mid,79637.159705,79637.260238,0.10053300000436138
Mid,Mid,79637.260238,79637.494815,0.23457699999562465
Mid,Mid,79637.494815,79637.628859,0.13404400000581518
Mid,Mid,79637.628859,79638.030992,0.4021329999959562
Mid,Mid,79638.030992,79638.098014,0.06702200000290759
Mid,Mid,79638.098014,79638.29908,0.20106599999417085
Mid,Mid,79638.29908,79638.533657,0.23457700001017656
Mid,Mid,79638.533657,79638.701212,0.16755499999271706
Mid,Mid,79638.701212,79638.969301,0.26808900000469293
Mid,Mid,79638.969301,79639.069834,0.10053299998980947
Mid,Mid,79639.069834,79639.203878,0.13404400000581518
Mid,Mid,79639.203878,79639.404944,0.20106599999417085
Mid,Mid,79639.404944,79639.505477,0.10053300000436138
Mid,Mid,79639.505477,79640.041654,0.5361770000017714
Mid,Mid,79640.041654,79640.24272,0.20106599999417085
Mid,Left,79640.24272,79640.276231,0.033511000001453795
Left,Mid,79640.276231,79640.477297,0.20106600000872277
Mid,Dashboard,79640.477297,79640.778896,0.30159899999853224
Dashboard,Mid,79640.778896,79641.013473,0.23457699999562465
Mid,Mid,79641.013473,79641.181029,0.16755600000033155
Mid,Left,79641.181029,79641.281562,0.10053300000436138
Left,Mid,79641.281562,79641.415606,0.13404399999126326
Mid,Mid,79641.415606,79641.717205,0.30159899999853224
Mid,Mid,79641.717205,79641.951782,0.23457700001017656
Mid,Mid,79641.951782,79642.152848,0.20106599999417085
Mid,Mid,79642.152848,79642.387426,0.23457800000323914
Mid,Mid,79642.387426,79642.487959,0.10053300000436138
Mid,Mid,79642.487959,79642.722536,0.23457699999562465
Mid,Dashboard,79642.722536,79642.85658,0.13404400000581518
Dashboard,Mid,79642.85658,79642.923602,0.06702199998835567
Mid,Dashboard,79642.923602,79642.957113,0.033511000001453795
Dashboard,Dashboard,79642.957113,79643.258712,0.30159899999853224
Dashboard,Dashboard,79643.258712,79643.359246,0.10053400001197588
Dashboard,Mid,79643.359246,79643.593823,0.23457699999562465
Mid,Mid,79643.593823,79643.8284,0.23457699999562465
Mid,Mid,79643.8284,79644.029466,0.20106600000872277
Mid,Mid,79644.029466,79644.264043,0.23457699999562465
Mid,Mid,79644.264043,79644.632665,0.3686219999945024
Mid,Mid,79644.632665,79644.733198,0.10053300000436138
Mid,Mid,79644.733198,79645.034797,0.30159899999853224
Mid,Mid,79645.034797,79645.168841,0.13404400000581518
Mid,Mid,79645.168841,79645.302885,0.13404399999126326
Mid,Dashboard,79645.302885,79645.503951,0.20106600000872277
Dashboard,Dashboard,79645.503951,79645.738529,0.23457799998868722
Dashboard,Mid,79645.738529,79645.973106,0.23457700001017656
Mid,Mid,79645.973106,79646.174172,0.20106599999417085
Mid,Mid,79646.174172,79646.408749,0.23457699999562465
Mid,Left,79646.408749,79646.542793,0.13404400000581518
Left,Mid,79646.542793,79646.643326,0.10053300000436138
Mid,Mid,79646.643326,79646.777371,0.13404499999887776
Mid,Mid,79646.777371,79646.911415,0.13404399999126326
Mid,Mid,79646.911415,79647.112481,0.20106600000872277
Mid,Left,79647.112481,79647.280036,0.16755499999271706
Left,Left,79647.280036,79647.280036,0.0
Left,Mid,79647.280036,79647.280036,0.0
Mid,Mid,79647.280036,79647.380569,0.10053300000436138
Mid,Mid,79647.380569,79647.514613,0.13404400000581518
Mid,Left,79647.514613,79647.514613,0.0
Left,Left,79647.514613,79647.514613,0.0
Left,Left,79647.514613,79654.317903,6.8032899999961955
