surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|3,1,108.93549999946116,108.93549999946116
Dashboard,Dashboard|4,4,564.8485000001529,141.2121250000382
Left,Left|2,10,1944.6955000039452,194.46955000039452
Left,Left|3,25,4982.774500001142,199.31098000004567
Left,Left|4,1,108.93549999946116,108.93549999946116
Left,Left|5,7,960.243000000446,137.17757142863516
Left,Left|6,18,3631.170999994538,201.73172222191877
Left,Left|7,3,576.9529999997758,192.31766666659192
Left,Left|8,15,2812.1410000030664,187.4760666668711
Left,Left|9,5,1032.8684999994948,206.57369999989896
Mid,Mid|1,14,2614.4435000041994,186.74596428601424
Mid,Mid|2,364,69657.97300000396,191.36805769231856
Mid,Mid|3,20,3155.0845000019763,157.7542250000988
Mid,Mid|4,10,1662.2699999998076,166.22699999998076
Mid,Mid|5,355,70602.08849999981,198.87912253521074
Mid,Mid|6,3,568.8834999991741,189.62783333305802
Right,Right|1,2,403.4640000008949,201.73200000044744
Right,Right|9,1,217.8700000004028,217.8700000004028
