from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Mid,Mid,7831.762626,7831.997204,0.23457800000051066
Mid,Mid,7831.997204,7832.231781,0.23457700000017212
Mid,Right,7832.231781,7832.332314,0.10053299999981391
Right,Mid,7832.332314,7832.466359,0.13404499999978725
Mid,Right,7832.466359,7832.533381,0.0670220000001791
Right,Dashboard,7832.533381,7832.767959,0.23457799999960116
Dashboard,Right,7832.767959,7832.80147,0.0335110000005443
Right,Mid,7832.80147,7832.834981,0.033510999999634805
Mid,Mid,7832.834981,7833.002536,0.16755499999999302
Mid,Mid,7833.002536,7833.237114,0.23457799999960116
Mid,Mid,7833.237114,7833.471692,0.23457800000051066
Mid,Mid,7833.471692,7833.672758,0.20106599999962782
Mid,Mid,7833.672758,7833.907336,0.23457800000051066
Mid,Mid,7833.907336,7834.141914,0.23457799999960116
Mid,Mid,7834.141914,7834.34298,0.20106600000053731
Mid,Mid,7834.34298,7834.879158,0.5361779999993814
Mid,Right,7834.879158,7834.94618,0.0670220000001791
Right,Mid,7834.94618,7835.080224,0.1340440000003582
Mid,Mid,7835.080224,7835.314802,0.23457799999960116
Mid,Mid,7835.314802,7835.54938,0.23457800000051066
Mid,Mid,7835.54938,7835.750446,0.20106599999962782
Mid,Mid,7835.750446,7835.985024,0.23457799999960116
Mid,Mid,7835.985024,7836.18609,0.20106600000053731
Mid,Mid,7836.18609,7836.420668,0.23457799999960116
Mid,Right,7836.420668,7836.48769,0.0670220000001791
Right,Mid,7836.48769,7836.655246,0.16755600000033155
Mid,Mid,7836.655246,7836.856312,0.20106599999962782
Mid,Mid,7836.856312,7837.09089,0.23457800000051066
Mid,Mid,7837.09089,7837.325468,0.23457799999960116
Mid,Right,7837.325468,7837.426001,0.10053299999981391
Right,Mid,7837.426001,7837.526534,0.10053299999981391
Mid,Mid,7837.526534,7837.761112,0.23457800000051066
Mid,Mid,7837.761112,7837.962178,0.20106599999962782
Mid,Mid,7837.962178,7838.196756,0.23457800000051066
Mid,Mid,7838.196756,7838.431334,0.23457799999960116
Mid,Mid,7838.431334,7838.498356,0.0670220000001791
Mid,Mid,7838.498356,7838.732934,0.23457799999960116
Mid,Mid,7838.732934,7838.934,0.20106600000053731
Mid,Mid,7838.934,7839.168578,0.23457799999960116
Mid,Right,7839.168578,7839.202089,0.0335110000005443
Right,Mid,7839.202089,7839.403155,0.20106599999962782
Mid,Mid,7839.403155,7839.604222,0.20106699999996636
Mid,Right,7839.604222,7839.805289,0.20106699999996636
Right,Mid,7839.805289,7839.8388,0.0335110000005443
Mid,Right,7839.8388,7839.972844,0.13404399999944872
Right,Mid,7839.972844,7840.073377,0.10053299999981391
Mid,Mid,7840.073377,7840.274444,0.20106699999996636
Mid,Right,7840.274444,7840.441999,0.16755499999999302
Right,Mid,7840.441999,7840.509022,0.06702300000051764
Mid,Mid,7840.509022,7840.710088,0.20106599999962782
Mid,Mid,7840.710088,7840.978177,0.26808900000014546
Mid,Right,7840.978177,7841.145732,0.16755499999999302
Right,Mid,7841.145732,7841.179244,0.03351199999997334
Mid,Mid,7841.179244,7841.38031,0.20106599999962782
Mid,Mid,7841.38031,7841.916488,0.5361780000002909
Mid,Mid,7841.916488,7842.151065,0.23457700000017212
Mid,Mid,7842.151065,7842.352132,0.20106699999996636
Mid,Mid,7842.352132,7842.586709,0.23457700000017212
Mid,Mid,7842.586709,7842.787776,0.20106699999996636
Mid,Dashboard,7842.787776,7843.089376,0.30159999999978027
Dashboard,Mid,7843.089376,7843.122887,0.0335110000005443
Mid,Dashboard,7843.122887,7843.256931,0.13404399999944872
Dashboard,Mid,7843.256931,7843.457998,0.20106699999996636
Mid,Mid,7843.457998,7843.659065,0.20106699999996636
Mid,Mid,7843.659065,7843.893642,0.23457700000017212
Mid,Mid,7843.893642,7844.12822,0.23457799999960116
Mid,Mid,7844.12822,7844.329286,0.20106600000053731
Mid,Mid,7844.329286,7844.563864,0.23457799999960116
Mid,Mid,7844.563864,7844.764931,0.20106699999996636
Mid,Mid,7844.764931,7844.999508,0.23457700000017212
Mid,Mid,7844.999508,7845.234086,0.23457800000051066
Mid,Mid,7845.234086,7845.435153,0.20106699999996636
Mid,Mid,7845.435153,7845.66973,0.23457699999926263
Mid,Mid,7845.66973,7845.904308,0.23457800000051066
Mid,Mid,7845.904308,7846.105374,0.20106599999962782
Mid,Mid,7846.105374,7846.339952,0.23457800000051066
Mid,Mid,7846.339952,7846.57453,0.23457799999960116
Mid,Mid,7846.57453,7846.775596,0.20106600000053731
Mid,Mid,7846.775596,7847.010174,0.23457799999960116
Mid,Mid,7847.010174,7847.211241,0.20106699999996636
Mid,Mid,7847.211241,7847.445818,0.23457700000017212
Mid,Mid,7847.445818,7847.646885,0.20106699999996636
Mid,Mid,7847.646885,7847.881462,0.23457700000017212
Mid,Right,7847.881462,7848.082529,0.20106699999996636
Right,Mid,7848.082529,7848.11604,0.033510999999634805
Mid,Dashboard,7848.11604,7848.451151,0.33511100000032457
Dashboard,Mid,7848.451151,7848.652218,0.20106699999996636
Mid,Mid,7848.652218,7848.886795,0.23457700000017212
Mid,Mid,7848.886795,7849.087862,0.20106699999996636
Mid,Mid,7849.087862,7849.32244,0.23457799999960116
Mid,Mid,7849.32244,7849.523506,0.20106600000053731
Mid,Mid,7849.523506,7849.758084,0.23457799999960116
Mid,Mid,7849.758084,7849.992661,0.23457700000017212
Mid,Mid,7849.992661,7850.193728,0.20106699999996636
Mid,Mid,7850.193728,7850.428306,0.23457799999960116
Mid,Mid,7850.428306,7850.662883,0.23457700000017212
Mid,Mid,7850.662883,7850.86395,0.20106699999996636
Mid,Mid,7850.86395,7851.132039,0.26808900000014546
Mid,Mid,7851.132039,7851.299594,0.16755499999999302
Mid,Mid,7851.299594,7851.534172,0.23457799999960116
Mid,Mid,7851.534172,7851.768749,0.23457700000017212
Mid,Right,7851.768749,7851.902794,0.13404499999978725
Right,Mid,7851.902794,7851.969816,0.0670220000001791
Mid,Mid,7851.969816,7852.204394,0.23457800000051066
Mid,Mid,7852.204394,7852.438971,0.23457699999926263
Mid,Mid,7852.438971,7852.640038,0.20106699999996636
