fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration
3,7810.282014,246,7810.2215405,80.69200000045385,1.4486919936917784,0.4883420020341873,0.25888998806476593,0.1652935445308685,0.2547270357608795,True,2,4.0,7810.315525,2.0,2 -> 2.0,0.033510999999634805
4,7810.315525,247,7810.306267,129.1080000000875,0.9679492196793456,0.4985235929489136,0.25261840224266047,0.8126916885375977,0.2466041445732116,True,2,5.0,7810.617125,5.0,2 -> 5.0,0.30159999999978027
5,7810.617125,256,7810.6048285,80.69199999954435,1.4744596346946572,0.5991321504116058,0.6299045383930206,0.575897216796875,0.6136487722396851,True,5,6.0,7810.684147,5.0,5 -> 5.0,0.0670220000001791
6,7810.684147,258,7810.689555499999,217.86900000006423,0.9999132732061116,0.5020883083343506,0.5844628640583583,0.6171709895133972,0.5963861346244812,True,5,7.0,7810.918725,5.0,5 -> 5.0,0.23457800000051066
7,7810.918725,265,7810.911459,189.62700000065524,1.468636966664597,0.38153508057196933,0.33450906599561375,0.4911872148513794,0.4930387437343597,True,5,8.0,7811.186814,5.0,5 -> 5.0,0.26808899999923597
8,7811.186814,273,7811.1051205,185.59199999981504,1.3569643109797158,0.5326606631278992,0.5691677778959274,0.5133704543113708,0.4690592288970947,True,5,9.0,7811.287347,5.0,5 -> 5.0,0.1005330000007234
9,7811.287347,276,7811.294747,84.72700000038458,1.3850227179571206,0.47663495937983197,0.5247632563114166,0.4119349718093872,0.5528572201728821,True,5,10.0,7811.38788,5.0,5 -> 5.0,0.10053299999981391
10,7811.38788,279,7811.3835085,80.69250000062311,1.4407928091459008,0.5184459388256073,0.48096948862075806,0.5132470726966858,0.4616198539733886,True,5,11.0,7811.454902,5.0,5 -> 5.0,0.0670220000001791
11,7811.454902,281,7811.4682355,217.868499999895,1.003171862914238,0.5203416262354169,0.4557088954108102,0.5143229365348816,0.4699268639087677,True,5,12.0,7811.68948,5.0,5 -> 5.0,0.23457799999960116
12,7811.68948,288,7811.690139,217.86900000006423,0.3116647931317537,0.39382539441188175,0.5667935808499655,0.4120394885540008,0.5707648992538452,True,5,13.0,7811.957569,5.0,5 -> 5.0,0.26808900000014546
13,7811.957569,296,7811.9120425,141.21150000028138,0.5652640418468047,0.3539122094710668,0.4412095894416173,0.1989539712667465,0.2157066315412521,True,5,14.0,7812.259169,5.0,5 -> 5.0,0.30159999999978027
14,7812.259169,305,7812.271734,88.76099999997678,0.545797220194884,0.4458871930837631,0.45970384776592255,0.1816220879554748,0.2204653620719909,True,5,15.0,7812.393213,5.0,5 -> 5.0,0.1340440000003582
15,7812.393213,309,7812.3840925,217.868499999895,0.8788087023814789,0.5298267006874084,0.4294378161430359,0.536967396736145,0.4380837082862854,True,5,16.0,7812.59428,5.0,5 -> 5.0,0.20106699999996636
16,7812.59428,315,7812.6059955,217.86900000006423,0.1541376672998373,0.49822155066898893,0.46043805352279116,0.5105254054069519,0.4277293384075165,True,5,17.0,7812.828857,5.0,5 -> 5.0,0.23457700000017212
17,7812.828857,322,7812.8278995,217.86900000006423,0.1736787575146656,0.5103011003562382,0.4344583536897387,0.5168104767799377,0.4310637414455414,True,5,18.0,7813.063435,5.0,5 -> 5.0,0.23457799999960116
18,7813.063435,329,7813.049803,217.86900000006423,0.2177987152191112,0.5171763698259989,0.4214508930842082,0.5232015252113342,0.4205112755298614,True,5,19.0,7813.264502,5.0,5 -> 5.0,0.20106699999996636
19,7813.264502,335,7813.271707,217.868499999895,0.1039909444033921,0.4576763231307268,0.4845260828733444,0.5127313733100891,0.4271736741065979,True,5,20.0,7813.53259,5.0,5 -> 5.0,0.2680879999998069
20,7813.53259,343,7813.5379905,84.72750000055385,1.333837830038798,0.4860348701477051,0.5180839449167252,0.3201257586479187,0.6857087016105652,True,5,21.0,7815.141123,5.0,5 -> 5.0,1.6085330000005342
21,7815.141123,391,7815.135697,80.69200000045385,1.4828042059039712,0.6558826565742493,0.4015167653560638,0.6558826565742493,0.4015167653560638,True,5,22.0,7815.241656,5.0,5 -> 5.0,0.10053299999981391
22,7815.241656,394,7815.2204235,217.86900000006423,1.2818070015227678,0.4638092517852783,0.3849521428346634,0.6704168319702148,0.4114699065685272,True,5,23.0,7815.476234,2.0,5 -> 2.0,0.23457799999960116
23,7815.476234,401,7815.442327,117.00400000063382,0.900702400585671,0.41631650924682617,0.2907981723546981,0.6721660494804382,0.381166398525238,True,2,25.0,7816.917211,5.0,2 -> 5.0,1.4409770000002027
25,7816.917211,444,7816.8705795,80.69199999954435,1.4946676347333134,0.5103499889373779,0.5942708849906921,0.5103499889373779,0.5942708849906921,True,5,26.0,7816.984233,5.0,5 -> 5.0,0.0670220000001791
26,7816.984233,446,7816.9553065,205.7649999997011,1.452473530530218,0.5194937527179718,0.6300701022148132,0.5119038224220276,0.5378478765487671,True,5,27.0,7817.151789,5.0,5 -> 5.0,0.16755599999942206
27,7817.151789,451,7817.165106,217.86900000006423,0.9700602716239956,0.5168139721666064,0.5477168560028076,0.5352085828781128,0.5480077266693115,True,5,28.0,7817.419877,5.0,5 -> 5.0,0.2680880000007164
