fixationid,aoi_id,world_timestamp
209,Mid|5,281.4561
210,Mid|5,281.690673
210,Left|6,281.724183
211,Mid|5,281.891735
212,Mid|5,282.126308
213,Mid|5,282.360881
214,Mid|4,282.461412
215,Mid|4,282.695985
216,Mid|4,282.930558
217,Mid|5,283.13162
218,Mid|5,283.332683
219,Mid|5,283.567255
220,Mid|5,283.701297
221,Mid|5,283.902359
222,Mid|5,284.069911
222,Left|3,284.237463
223,Mid|5,284.304484
224,Mid|5,284.505547
225,Mid|5,284.740119
226,Mid|5,284.974692
227,Mid|5,285.175755
228,Mid|5,285.410327
229,Mid|5,285.6449
230,Mid|5,285.845963
231,Mid|5,286.047025
232,Mid|5,286.248087
233,Mid|5,286.48266
234,Mid|5,286.650212
235,Mid|5,286.884785
236,Mid|5,287.085847
237,Mid|5,287.32042
238,Mid|5,287.554993
239,Mid|5,287.756055
240,Mid|5,287.890097
241,Mid|5,287.990628
242,Mid|5,288.191691
243,Mid|5,288.426263
244,Mid|5,288.660836
245,Mid|5,288.861899
246,Mid|5,289.096471
247,Mid|5,289.264023
248,Mid|5,289.465086
249,Mid|5,289.699659
250,Mid|5,289.934231
251,Left|3,290.135294
250,Left|3,290.135294
251,Mid|5,290.135294
252,Mid|5,290.235825
253,Mid|5,290.470398
254,Mid|5,290.67146
254,Left|8,290.704971
255,Mid|5,290.906033
256,Mid|5,291.107095
257,Mid|5,291.341668
258,Mid|5,291.576241
259,Mid|5,291.777303
260,Mid|5,292.011876
261,Mid|5,292.212939
262,Mid|2,292.481022
263,Mid|2,292.682084
264,Mid|5,292.983678
265,Mid|5,293.218251
266,Mid|5,293.419313
267,Mid|5,293.653886
268,Mid|5,293.854948
268,Left|8,293.955479
269,Mid|5,294.089521
270,Mid|5,294.223563
271,Mid|5,294.458135
272,Mid|5,294.659198
273,Mid|5,294.893771
273,Left|8,294.960791
274,Mid|5,295.094833
275,Mid|5,295.329406
276,Mid|5,295.496958
277,Mid|5,295.69802
278,Mid|5,295.932593
279,Mid|5,296.167166
280,Mid|5,296.368228
281,Mid|5,296.870884
282,Mid|5,296.971415
283,Mid|5,297.205988
284,Mid|5,297.407051
