fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
193,Left,277.769956,1203,277.77465199999995,217.86400000007689,1.3896483426788522,0.8772397041320801,0.6253863573074341,0.8772397041320801,0.6253863573074341,True,6.0,Left|6,194.0,278.004529,Mid|5,Left|6 -> Mid|5,0.2345730000000117,Left,Mid
210,Mid,281.690673,1320,281.6921635,197.691500000019,1.459849502355218,0.46432186024529587,0.3603469559124538,0.466078519821167,0.3655751645565033,True,5.0,Mid|5,210.0,281.724183,Left|6,Mid|5 -> Left|6,0.03350999999997839,Mid,Left
210,Left,281.724183,1321,281.6921635,197.691500000019,1.459849502355218,0.7775959968566895,0.6665329933166504,0.7775959968566895,0.6665329933166504,True,6.0,Left|6,211.0,281.891735,Mid|5,Left|6 -> Mid|5,0.1675520000000006,Left,Mid
222,Mid,284.069911,1391,284.076561,217.8635000000213,1.212511696769042,0.5195694603025913,0.344933770596981,0.5028855800628662,0.3529239594936371,True,5.0,Mid|5,222.0,284.237463,Left|3,Mid|5 -> Left|3,0.1675520000000006,Mid,Left
222,Left,284.237463,1396,284.076561,217.8635000000213,1.212511696769042,0.8311083316802979,0.1850192844867706,0.8311083316802979,0.1850192844867706,True,3.0,Left|3,223.0,284.304484,Mid|5,Left|3 -> Mid|5,0.0670210000000111,Left,Mid
250,Mid,289.934231,1566,289.918535,217.8635000000213,0.7111515355711646,0.47809895873069763,0.36887262974466595,0.4808200299739837,0.3703135848045349,True,5.0,Mid|5,251.0,290.135294,Left|3,Mid|5 -> Left|3,0.20106299999997646,Mid,Left
250,Left,290.135294,1572,289.918535,217.8635000000213,0.7111515355711646,0.9721502065658568,0.2452078461647033,0.9721502065658568,0.2452078461647033,True,3.0,Left|3,251.0,290.135294,Mid|5,Left|3 -> Mid|5,0.0,Left,Mid
254,Mid,290.67146,1588,290.6810575,209.79499999998552,1.429728029264021,0.41506223008036613,0.3610605224967003,0.4222458302974701,0.3668788969516754,True,5.0,Mid|5,254.0,290.704971,Left|8,Mid|5 -> Left|8,0.033510999999975866,Mid,Left
254,Left,290.704971,1589,290.6810575,209.79499999998552,1.429728029264021,0.450802206993103,0.773705244064331,0.450802206993103,0.773705244064331,True,8.0,Left|8,255.0,290.906033,Mid|5,Left|8 -> Mid|5,0.20106199999997898,Left,Mid
268,Mid,293.854948,1683,293.8683225,217.86400000002004,0.8827602555400719,0.42937975749373436,0.34855591505765915,0.4238503575325012,0.3370354473590851,True,5.0,Mid|5,268.0,293.955479,Left|8,Mid|5 -> Left|8,0.10053100000004633,Mid,Left
