fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,session_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1419,Right,1453.474508,8950,1453.4377625000002,217.87799999992785,0.7545110330548916,0.2758792638778686,0.1545111835002899,0.2758792638778686,0.1545111835002899,True,1.0,Right|1,NA2_delay2:002,1420.0,1453.675574,Mid|5,Right|1 -> Mid|5,0.20106600000008257,Right,Mid
1431,Mid,1455.987834,9025,1455.983704,217.87799999992785,0.5368951182980544,0.49989173242024015,0.3580224258559091,0.5072275400161743,0.3452586233615875,True,5.0,Mid|5,NA2_delay2:002,1431.0,1456.155389,Left|3,Mid|5 -> Left|3,0.16755499999999302,Mid,Left
1431,Left,1456.155389,9030,1455.983704,217.87799999992785,0.5368951182980544,0.977741539478302,0.2472847253084182,0.977741539478302,0.2472847253084182,True,3.0,Left|3,NA2_delay2:002,1432.0,1456.1889,Mid|5,Left|3 -> Mid|5,0.03351100000008955,Left,Mid
1477,Mid,1465.069318,9296,1465.0538725,217.87749999975856,0.9959222556513038,0.43306903753961834,0.379923586334501,0.4276419281959533,0.3751771450042724,True,5.0,Mid|5,NA2_delay2:002,1477.0,1465.102829,Left|9,Mid|5 -> Left|9,0.03351099999986218,Mid,Left
1477,Left,1465.102829,9297,1465.0538725,217.87749999975856,0.9959222556513038,0.7151513397693634,0.6872910261154175,0.7348451018333435,0.6995861530303955,True,9.0,Left|9,NA2_delay2:002,1478.0,1465.270384,Mid|5,Left|9 -> Mid|5,0.16755499999999302,Left,Mid
1486,Mid,1466.711357,9345,1466.720233,149.28699999995845,1.2526542013412725,0.4487808346748352,0.43131986260414124,0.4454870522022247,0.3964805901050567,True,5.0,Mid|5,NA2_delay2:002,1486.0,1466.845401,Left|2,Mid|5 -> Left|2,0.13404400000013084,Mid,Left
1486,Left,1466.845401,9349,1466.720233,149.28699999995845,1.2526542013412725,0.5818142294883728,0.2138194739818573,0.5818142294883728,0.2138194739818573,True,2.0,Left|2,NA2_delay2:002,1487.0,1467.113489,Mid|5,Left|2 -> Mid|5,0.2680880000000343,Left,Mid
1487,Mid,1467.113489,9357,1467.127745,217.87799999992785,0.7796338795147036,0.43610218539834017,0.42078774422407145,0.43857541680336,0.4275753796100616,True,5.0,Mid|5,NA2_delay2:002,1487.0,1467.147,Left|8,Mid|5 -> Left|8,0.03351099999986218,Mid,Left
1487,Left,1467.147,9358,1467.127745,217.87799999992785,0.7796338795147036,0.3801631033420563,0.836108386516571,0.3801631033420563,0.836108386516571,True,8.0,Left|8,NA2_delay2:002,1488.0,1467.348066,Mid|5,Left|8 -> Mid|5,0.20106600000008257,Left,Mid
1491,Mid,1467.951265,9382,1467.966978,217.87750000021333,1.3387299815961755,0.5365736037492752,0.38561027124524117,0.5279980897903442,0.387941837310791,True,5.0,Mid|5,NA2_delay2:002,1491.0,1468.085309,Left|2,Mid|5 -> Left|2,0.13404400000013084,Mid,Left
1491,Left,1468.085309,9386,1467.966978,217.87750000021333,1.3387299815961755,0.5630345344543457,0.1708126813173294,0.5630345344543457,0.1708126813173294,True,2.0,Left|2,NA2_delay2:002,1492.0,1468.185842,Mid|5,Left|2 -> Mid|5,0.10053300000004128,Left,Mid
1494,Mid,1468.621485,9402,1468.6327155,92.79950000018287,0.6129117576242425,0.5966138690710068,0.3845610842108726,0.5935317277908325,0.3845562040805816,True,5.0,Mid|5,NA2_delay2:002,1495.0,1468.755529,Dashboard|4,Mid|5 -> Dashboard|4,0.13404400000013084,Mid,Dashboard
1496,Dashboard,1468.856062,9409,1468.8667325,217.8769999998167,1.4033749407676306,0.24868674762547013,0.4399346560239792,0.2407194972038269,0.4342385232448578,True,4.0,Dashboard|4,NA2_delay2:002,1497.0,1469.157661,Mid|2,Dashboard|4 -> Mid|2,0.3015989999998965,Dashboard,Mid
1499,Mid,1469.492771,9428,1469.4800175,217.87799999992785,0.8981055236986767,0.4375345536640712,0.3850818531853812,0.4396080374717712,0.3851579427719116,True,5.0,Mid|5,NA2_delay2:002,1499.0,1469.593304,Left|3,Mid|5 -> Left|3,0.10053300000004128,Mid,Left
1499,Left,1469.593304,9431,1469.4800175,217.87799999992785,0.8981055236986767,0.7156407237052917,0.1899060159921646,0.7156407237052917,0.1899060159921646,True,3.0,Left|3,NA2_delay2:002,1500.0,1469.693837,Mid|5,Left|3 -> Mid|5,0.10053300000004128,Left,Mid
