fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
1,Right,4545.699089,4,4545.696316,217.86799999972573,0.5987711344741063,0.3075613379478454,0.7115436281476702,0.3145481050014496,0.7111920118331909,True,7,Right|7,1.0,4545.900155,Left|3,Right|7 -> Left|3,0.20106600000053731,Right,Left
1148,Left,4776.288364,6883,4776.2695435000005,217.86799999972573,0.8098294917009025,0.6656939387321472,0.7710882425308228,0.6656939387321472,0.7710882425308228,True,8,Left|8,1149.0,4776.556452,Mid|6,Left|8 -> Mid|6,0.2680879999998069,Left,Mid
1150,Mid,4776.757518,6897,4776.7617645,80.69200000045385,0.5533582732625585,0.7006908357143402,0.46562984585762024,0.7092708349227905,0.4596443474292755,True,6,Mid|6,1151.0,4776.891562,Left|3,Mid|6 -> Left|3,0.13404399999944872,Mid,Left
1151,Left,4776.891562,6901,4776.9029755,125.07249999998749,1.474089520668855,0.7567710280418396,0.0121417194604873,0.7567710280418396,0.0121417194604873,True,3,Left|3,1151.0,4776.891562,Right|4,Left|3 -> Right|4,0.0,Left,Right
1152,Right,4777.226672,6911,4777.221708499999,177.52250000012282,1.4091748259050647,0.4557156761487325,0.45600788791974384,0.4554063379764557,0.457110047340393,True,5,Right|5,1153.0,4777.561782,Mid|4,Right|5 -> Mid|4,0.33510999999998603,Right,Mid
1153,Mid,4777.561782,6921,4777.560615,121.03799999931653,1.445522479920513,0.28586536645889277,0.48741952776908876,0.3051528632640838,0.4875635206699371,True,4,Mid|4,1154.0,4777.82987,Left|3,Mid|4 -> Left|3,0.2680879999998069,Mid,Left
1157,Left,4778.232002,6941,4778.230358000001,217.868499999895,1.384734407838921,0.7059413875852313,0.21833018107073646,0.7509248852729797,0.1898251324892044,True,3,Left|3,1158.0,4778.600624,Mid|5,Left|3 -> Mid|5,0.36862199999995937,Left,Mid
1164,Mid,4779.941064,6992,4779.9450625,217.8680000006352,1.318567132126831,0.4651917368173599,0.5375189408659935,0.4696363806724548,0.5319517254829407,True,5,Mid|5,1165.0,4780.209152,Dashboard|4,Mid|5 -> Dashboard|4,0.2680880000007164,Mid,Dashboard
1167,Dashboard,4780.644795,7013,4780.6349785,133.1415000004199,0.9802553865017304,0.31283721923828123,0.6304702043533326,0.3117597997188568,0.6193094849586487,True,4,Dashboard|4,1168.0,4781.013416,Mid|5,Dashboard|4 -> Mid|5,0.36862099999962084,Dashboard,Mid
1168,Mid,4781.013416,7024,4781.0061615,165.41850000066916,1.49833191849029,0.43746959169705707,0.4843137760957082,0.4395510554313659,0.4860396087169647,True,5,Mid|5,1169.0,4781.281505,Right|4,Mid|5 -> Right|4,0.26808900000014546,Mid,Right
1169,Right,4781.281505,7032,4781.268410000001,133.1419999987702,1.3704318762611625,0.1086037546396255,0.3705928385257721,0.0978477299213409,0.5075640678405762,True,4,Right|4,1169.0,4781.415549,Left|1,Right|4 -> Left|1,0.1340440000003582,Right,Left
1169,Left,4781.415549,7036,4781.268410000001,133.1419999987702,1.3704318762611625,0.1416678577661514,0.0041781794279813,0.1416678577661514,0.0041781794279813,True,1,Left|1,1170.0,4781.549593,Right|5,Left|1 -> Right|5,0.13404399999944872,Left,Right
1170,Right,4781.549593,7040,4781.538728,149.2804999998043,1.3083444115755931,0.5931613922119141,0.48081734776496887,0.5963636040687561,0.4868018627166748,True,5,Right|5,1170.0,4781.683637,Left|2,Right|5 -> Left|2,0.1340440000003582,Right,Left
1170,Left,4781.683637,7044,4781.538728,149.2804999998043,1.3083444115755931,0.5687582492828369,0.0197505243122577,0.5687582492828369,0.0197505243122577,True,2,Left|2,1171.0,4781.750659,Right|5,Left|2 -> Right|5,0.0670220000001791,Left,Right
1171,Right,4781.750659,7046,4781.7444925,137.17650000035064,1.4467980281943082,0.34675245881080624,0.5576431512832641,0.2236567139625549,0.710517406463623,True,5,Right|5,1172.0,4781.985236,Mid|5,Right|5 -> Mid|5,0.23457700000017212,Right,Mid
1180,Mid,4783.660786,7103,4783.6649615,141.2105000008523,1.4174790994358182,0.16875045895576474,0.4892188310623169,0.1690889745950698,0.4768620431423187,True,4,Mid|4,1182.0,4784.09643,Left|6,Mid|4 -> Left|6,0.435643999999229,Mid,Left
1182,Left,4784.09643,7116,4784.1047325,96.83050000057848,1.32882786084204,0.9605150669813156,0.3712259531021118,0.9557952880859376,0.3874372839927673,True,6,Left|6,1183.0,4784.263985,Mid|5,Left|6 -> Mid|5,0.16755499999999302,Left,Mid
1199,Mid,4787.481042,7217,4787.4937945,189.62649999957648,1.0994687462253103,0.4197797647544316,0.48295277782848905,0.4203613996505737,0.4707542061805725,True,5,Mid|5,1200.0,4787.715619,Dashboard|4,Mid|5 -> Dashboard|4,0.23457699999926263,Mid,Dashboard
1201,Dashboard,4787.816152,7227,4787.8165625,217.868499999895,1.271464972203659,0.29919620603322983,0.6015363410115242,0.2975458800792694,0.6028982996940613,True,4,Dashboard|4,1201.0,4787.916685,Left|5,Dashboard|4 -> Left|5,0.10053299999981391,Dashboard,Left
1201,Left,4787.916685,7230,4787.8165625,217.868499999895,1.271464972203659,0.6365953683853149,0.4938797056674957,0.6365953683853149,0.4938797056674957,True,5,Left|5,1202.0,4788.151262,Mid|5,Left|5 -> Mid|5,0.23457700000017212,Left,Mid
1213,Mid,4790.295967,7301,4790.2817015,217.86799999972573,0.9632610771570896,0.4393971562385559,0.5070851998669761,0.4378633201122284,0.5101129412651062,True,5,Mid|5,1213.0,4790.430011,Left|8,Mid|5 -> Left|8,0.1340440000003582,Mid,Left
1213,Left,4790.430011,7305,4790.2817015,217.86799999972573,0.9632610771570896,0.5095284730195999,0.8113765120506287,0.5843979120254517,0.7890709042549133,True,8,Left|8,1214.0,4790.564055,Dashboard|5,Left|8 -> Dashboard|5,0.13404399999944872,Left,Dashboard
1214,Dashboard,4790.564055,7309,4790.55202,96.8299999994997,1.4120941196960957,0.3565639853477478,0.6284344047307968,0.3558436632156372,0.621397078037262,True,5,Dashboard|5,1214.0,4790.664588,Left|5,Dashboard|5 -> Left|5,0.10053299999981391,Dashboard,Left
1214,Left,4790.664588,7312,4790.55202,96.8299999994997,1.4120941196960957,0.6377077698707581,0.4692749977111816,0.6377077698707581,0.4692749977111816,True,5,Left|5,1215.0,4790.664588,Dashboard|4,Left|5 -> Dashboard|4,0.0,Left,Dashboard
