surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|2,2,302.59550000027957,151.29775000013979
Dashboard,Dashboard|4,185,28988.587500000904,156.69506756757247
Dashboard,Dashboard|5,185,28859.481500012407,155.99719729736435
Dashboard,Dashboard|6,27,4482.434999996258,166.0161111109725
Dashboard,Dashboard|7,20,2533.7255000022196,126.68627500011098
Dashboard,Dashboard|8,22,2606.350499993823,118.4704772724465
Dashboard,Dashboard|9,1,129.10749999991822,129.10749999991822
Left,Left|1,5,714.124999998603,142.8249999997206
Left,Left|2,35,5684.74999999853,162.42142857138657
Left,Left|3,37,6903.196500000377,186.57287837838857
Left,Left|4,32,5216.734500001621,163.02295312505066
Left,Left|5,34,5402.327499998137,158.89198529406283
Left,Left|6,53,8658.246999999392,163.36315094338474
Left,Left|7,16,2961.394500002825,185.08715625017658
Left,Left|8,102,19406.41350000351,190.25895588238734
Left,Left|9,73,13257.68849999804,181.61217123284985
Mid,Mid|1,4,661.6744999992079,165.41862499980198
Mid,Mid|2,29,4248.4305000007225,146.49760344830077
Mid,Mid|3,2,246.110499999304,123.055249999652
Mid,Mid|4,603,104366.97550000371,173.07956135987348
Mid,Mid|5,2783,507249.8349999987,182.2672781171393
Mid,Mid|6,8,1174.0689999987808,146.7586249998476
Mid,Mid|7,4,689.9164999995264,172.4791249998816
Mid,Mid|8,4,746.4009999994232,186.6002499998558
Right,Right|1,2,435.7365000005302,217.8682500002651
Right,Right|2,2,351.01050000139367,175.50525000069683
Right,Right|4,4,661.6744999982984,165.4186249995746
Right,Right|5,6,831.1280000007173,138.52133333345287
Right,Right|6,2,342.9409999998825,171.47049999994124
Right,Right|7,4,786.7460000006758,196.68650000016896
Right,Right|8,3,540.6360000006316,180.21200000021054
