fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration
0,502.66052,0,502.5811725,217.86550000001623,0.6845372783874171,0.805472195148468,0.5014388918876648,0.8056216835975647,0.5012389421463013,True,6,1.0,502.794563,6.0,6 -> 6.0,0.13404299999996283
1,502.794563,4,502.8030725,217.86500000001752,0.8293159081638595,0.795877605676651,0.5092508122324944,0.8004090189933777,0.4941006898880005,True,6,2.0,503.029137,6.0,6 -> 6.0,0.23457400000000916
2,503.029137,11,503.024972,217.86550000001623,0.9673893775007804,0.8047985519681659,0.5089746032442365,0.8059316873550415,0.5039358735084534,True,6,3.0,503.2302,6.0,6 -> 6.0,0.2010630000000333
3,503.2302,17,503.246872,108.93300000003592,1.408965211479754,0.8067753553390503,0.5303852200508118,0.8139658570289612,0.4777271747589111,True,6,4.0,503.364242,6.0,6 -> 6.0,0.13404199999996536
4,503.364242,21,503.363874,80.69050000000288,1.4927863772898498,0.7999484737714132,0.5528677304585775,0.7919130921363831,0.5264230370521545,True,6,5.0,503.464774,6.0,6 -> 6.0,0.10053199999998697
5,503.464774,24,503.448599,169.45100000003777,1.0725139152445156,0.8261362016201019,0.5258623560269674,0.8171099424362183,0.5252335667610168,True,6,6.0,503.900411,5.0,6 -> 5.0,0.43563700000004246
6,503.900411,37,503.908537,88.76049999997804,1.430649935600086,0.5688868910074234,0.4057804867625236,0.5667113661766052,0.4329109191894531,True,5,7.0,504.000943,5.0,5 -> 5.0,0.10053199999998697
7,504.000943,40,504.001332,217.86500000001752,0.6242090872969404,0.5582724139094353,0.4222637973725796,0.5540711283683777,0.419851690530777,True,5,8.0,504.235517,5.0,5 -> 5.0,0.23457400000000916
8,504.235517,47,504.2232315,217.86500000001752,0.7379876937599364,0.5564496176583427,0.42407513516289846,0.5629151463508606,0.4225974977016449,True,5,9.0,504.43658,5.0,5 -> 5.0,0.20106299999997646
9,504.43658,53,504.4451315,217.86500000001752,0.7017403036878967,0.5594595223665237,0.4277421049773693,0.5577398538589478,0.4229028522968292,True,5,14.0,506.78232,2.0,5 -> 2.0,2.345740000000035
14,506.78232,123,506.7892010000001,149.27749999992557,1.438542332845518,0.5460955599943796,0.28850632160902023,0.2289326786994934,0.1763166487216949,True,2,15.0,506.949873,2.0,2 -> 2.0,0.16755299999999806
15,506.949873,128,506.9425135,80.69100000000162,1.2600093666977514,0.5851838489373525,0.3243240565061569,0.7540330290794373,0.1917528659105301,True,2,16.0,507.016894,2.0,2 -> 2.0,0.06702099999995426
16,507.016894,130,507.027239,217.86499999996067,1.4969729971675814,0.46957553550601006,0.28253038600087166,0.3703411519527435,0.3658256530761719,True,2,17.0,507.251468,2.0,2 -> 2.0,0.23457400000000916
17,507.251468,137,507.2491385,217.86600000007184,0.4942391859263292,0.5406746481146131,0.28354431688785553,0.4910165667533874,0.3212391138076782,True,2,18.0,507.486042,2.0,2 -> 2.0,0.23457400000000916
18,507.486042,144,507.471039,217.86499999996067,1.1425680198439143,0.5559584299723307,0.3276319727301597,0.5145871043205261,0.3726684749126434,True,2,19.0,507.687105,2.0,2 -> 2.0,0.20106299999997646
19,507.687105,150,507.6929385,217.8650000000744,0.8596879814779294,0.5544475838541985,0.32489433512091637,0.5446423888206482,0.3306940197944641,True,2,20.0,507.921679,2.0,2 -> 2.0,0.23457400000000916
