aoi,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
1,14,5,0,0,0,1,1,16,0
2,8,17,0,1,0,1,0,15,0
3,0,0,0,0,0,0,0,0,0
4,0,1,0,6,1,0,1,7,0
5,0,1,0,2,10,1,3,25,0
6,0,2,0,0,0,19,0,0,5
7,0,0,0,0,2,0,45,56,0
8,15,16,0,7,28,0,53,3337,2
9,0,0,0,0,0,4,0,3,2
