fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi
0,5737.484725,0,5737.4075615,217.868499999895,1.200582760287913,0.538344430923462,0.4830987870693207,0.5408304333686829,0.485558271408081,True,5,1.0,5737.618769,5.0
1,5737.618769,4,5737.6294645,161.3840000009077,0.8159349152440284,0.5367068449656168,0.4708109050989151,0.5360672473907471,0.4704523384571075,True,5,2.0,5737.819835,6.0
2,5737.819835,10,5737.835229,80.69199999954435,1.3892887597262673,0.916540801525116,0.5965597182512283,0.916220247745514,0.5947397351264954,True,6,3.0,5737.920368,6.0
3,5737.920368,13,5737.9199555,217.86799999972573,0.9292174350019728,0.9309856295585632,0.6213053635188511,0.9231833815574646,0.6279382109642029,True,6,4.0,5738.154945,6.0
4,5738.154945,20,5738.141858,217.868499999895,0.8692548939653907,0.9236411537442889,0.5847150257655552,0.922453999519348,0.5870299339294434,True,6,5.0,5738.356011,6.0
5,5738.356011,26,5738.3637610000005,217.86799999972573,0.8762786108638512,0.9225034639239311,0.6219378262758255,0.9201237559318542,0.6270381212234497,True,6,6.0,5738.590588,6.0
6,5738.590588,33,5738.585664,217.868499999895,1.3094769148254306,0.9169113891465324,0.6352477073669434,0.9150853753089904,0.634898841381073,True,6,7.0,5738.791654,6.0
7,5738.791654,39,5738.807567,217.86799999972573,0.8353284314866614,0.9116289988160133,0.6577096506953239,0.9120945334434508,0.6612690687179565,True,6,8.0,5739.026231,6.0
8,5739.026231,46,5739.0294695,217.868499999895,0.7440151162765846,0.9058511406183243,0.6291667148470879,0.90593421459198,0.6270291805267334,True,6,9.0,5739.260808,6.0
9,5739.260808,53,5739.2513725,217.868499999895,1.08169357765311,0.9219248976026263,0.6423019085611615,0.9201388359069824,0.638706386089325,True,6,10.0,5739.461875,6.0
10,5739.461875,59,5739.4732755,145.24549999987357,1.4675334017294592,0.9268746276696523,0.6106328666210175,0.9273419380187988,0.6123397946357727,True,6,11.0,5739.62943,6.0
11,5739.62943,64,5739.6225555,217.86799999972573,1.0984622331498497,0.9327133553368705,0.6326149191175189,0.9312753081321716,0.6326221823692322,True,6,12.0,5739.830496,6.0
12,5739.830496,70,5739.8444585,217.868499999895,0.8399391442892613,0.9157766699790955,0.6042658537626266,0.9130629301071168,0.6045826077461243,True,6,13.0,5740.065073,6.0
13,5740.065073,77,5740.0663615,217.86799999972573,0.7408472926979519,0.9154665991663933,0.5897268876433372,0.9113931655883788,0.6042665839195251,True,6,14.0,5740.29965,6.0
14,5740.29965,84,5740.288264,96.83049999966896,0.9897958642729462,0.8956471383571625,0.5840447396039963,0.8947785496711731,0.5926806926727295,True,6,21.0,5741.673601,5.0
21,5741.673601,125,5741.6680965,96.83050000057848,1.494660822678492,0.47920238971710205,0.44778961688280106,0.563598096370697,0.4863033294677734,True,5,22.0,5741.774134,5.0
22,5741.774134,128,5741.7689615,161.3839999999982,1.4620902445440986,0.5900748670101166,0.5296482443809509,0.572642982006073,0.4991790652275085,True,5,23.0,5741.941689,5.0
23,5741.941689,133,5741.934380000001,80.69199999954435,1.3532392051278572,0.462612787882487,0.4376216282447179,0.5773429274559021,0.5184085965156555,True,5,24.0,5742.042222,5.0
24,5742.042222,136,5742.031210499999,84.7265000011248,1.3909603643288788,0.606218675772349,0.5130453606446584,0.6011844873428345,0.4894716441631317,True,5,25.0,5742.243289,5.0
25,5742.243289,142,5742.23294,80.69199999954435,1.3890463003675817,0.5633652408917745,0.4883747597535451,0.5587737560272217,0.4837832748889923,True,5,26.0,5742.310311,5.0
26,5742.310311,144,5742.317666999999,141.2110000001121,1.4414689933159677,0.5400118708610535,0.44639480113983154,0.5378180146217346,0.4631295204162597,True,5,27.0,5742.477866,5.0
