from_surface,to_surface,world_timestamp,next_world_timestamp,transition_duration
Left,Mid,10892.821744,10893.324412,0.5026679999991757
Mid,Mid,10893.324412,10893.55899,0.23457799999960116
Mid,Dashboard,10893.55899,10893.693035,0.13404500000069675
Dashboard,Left,10893.693035,10893.726546,0.033510999999634805
Left,Dashboard,10893.726546,10893.927613,0.20106699999996636
Dashboard,Left,10893.927613,10894.028147,0.10053400000106194
Left,Left,10894.028147,10894.597837,0.5696899999984453
Left,Dashboard,10894.597837,10895.066994,0.46915700000135985
Dashboard,Mid,10895.066994,10895.100505,0.033510999999634805
Mid,Left,10895.100505,10895.167527,0.06702199999926961
Left,Dashboard,10895.167527,10895.268061,0.10053400000106194
Dashboard,Mid,10895.268061,10895.268061,0.0
Mid,Left,10895.268061,10895.301572,0.033510999999634805
Left,Mid,10895.301572,10895.469128,0.16755600000033155
Mid,Mid,10895.469128,10895.603173,0.13404499999887776
Mid,Mid,10895.603173,10895.770729,0.16755600000033155
Mid,Mid,10895.770729,10896.139352,0.3686230000002979
Mid,Mid,10896.139352,10896.340419,0.20106699999996636
Mid,Mid,10896.340419,10896.574997,0.23457799999960116
Mid,Mid,10896.574997,10896.809575,0.23457799999960116
Mid,Mid,10896.809575,10897.178198,0.3686230000002979
Mid,Mid,10897.178198,10897.412777,0.2345789999999397
Mid,Mid,10897.412777,10897.613844,0.20106699999996636
Mid,Mid,10897.613844,10897.848422,0.23457799999960116
Mid,Left,10897.848422,10898.820246,0.971824000000197
Left,Mid,10898.820246,10899.188869,0.3686230000002979
Mid,Mid,10899.188869,10899.389936,0.20106699999996636
Mid,Mid,10899.389936,10899.523981,0.13404500000069675
Mid,Mid,10899.523981,10899.758559,0.23457799999960116
Mid,Mid,10899.758559,10899.959627,0.2010680000003049
Mid,Left,10899.959627,10900.06016,0.1005330000007234
Left,Mid,10900.06016,10900.194205,0.13404499999887776
Mid,Mid,10900.194205,10900.428783,0.23457799999960116
Mid,Mid,10900.428783,10900.62985,0.20106699999996636
Mid,Mid,10900.62985,10900.830917,0.20106699999996636
Mid,Mid,10900.830917,10901.065496,0.2345789999999397
Mid,Left,10901.065496,10901.099007,0.033511000001453795
Left,Mid,10901.099007,10901.300074,0.20106699999996636
Mid,Mid,10901.300074,10901.501141,0.20106699999996636
Mid,Dashboard,10901.501141,10901.869764,0.3686229999984789
Dashboard,Dashboard,10901.869764,10901.970298,0.10053400000106194
Dashboard,Dashboard,10901.970298,10902.104342,0.1340440000003582
Dashboard,Left,10902.104342,10902.238387,0.13404499999887776
Left,Dashboard,10902.238387,10902.305409,0.0670220000010886
Dashboard,Left,10902.305409,10902.372432,0.06702299999960815
Left,Dashboard,10902.372432,10902.573499,0.20106699999996636
Dashboard,Dashboard,10902.573499,10902.774566,0.20106699999996636
Dashboard,Dashboard,10902.774566,10903.009144,0.23457799999960116
Dashboard,Left,10903.009144,10903.1767,0.16755600000033155
Left,Dashboard,10903.1767,10903.277234,0.10053399999924295
Dashboard,Left,10903.277234,10903.411278,0.1340440000003582
Left,Dashboard,10903.411278,10903.511812,0.10053400000106194
Dashboard,Mid,10903.511812,10903.779902,0.2680899999995745
Mid,Mid,10903.779902,10903.913946,0.1340440000003582
Mid,Mid,10903.913946,10904.148525,0.2345789999999397
Mid,Mid,10904.148525,10904.282569,0.1340440000003582
Mid,Mid,10904.282569,10904.517148,0.2345789999999397
Mid,Mid,10904.517148,10904.751726,0.23457799999960116
Mid,Mid,10904.751726,10904.952793,0.20106699999996636
Mid,Mid,10904.952793,10905.187371,0.23457799999960116
Mid,Mid,10905.187371,10905.287905,0.10053399999924295
Mid,Mid,10905.287905,10905.42195,0.13404500000069675
Mid,Mid,10905.42195,10905.623017,0.20106699999996636
