fixationid,surface,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,aoi_id,next_fixation_id,next_world_timestamp,next_aoi,transition,transition_duration,from_surface,to_surface
0,Mid,2378.777309,0,2378.66641,121.03850000039527,0.775934142752902,0.8931427001953125,0.408258706331253,0.8931427001953125,0.408258706331253,True,6,Mid|6,1.0,2378.81082,Left|1,Mid|6 -> Left|1,0.03351100000008955,Mid,Left
1,Left,2378.81082,1,2378.82376,217.868499999895,1.442158303077595,0.3209259212017059,0.1296084076166153,0.3209259212017059,0.1296084076166153,True,1,Left|1,1.0,2378.81082,Mid|3,Left|1 -> Mid|3,0.0,Left,Mid
2,Mid,2379.045398,8,2379.045663,217.86900000006423,1.2144241337286912,0.9894271120429039,0.09092353191226715,0.9875851273536682,0.0866353288292884,True,3,Mid|3,2.0,2379.145931,Left|2,Mid|3 -> Left|2,0.10053299999981391,Mid,Left
2,Left,2379.145931,11,2379.045663,217.86900000006423,1.2144241337286912,0.5462000767389933,0.10684244831403089,0.646348774433136,0.0950988605618476,True,2,Left|2,3.0,2379.279975,Mid|3,Left|2 -> Mid|3,0.13404399999990346,Left,Mid
3,Mid,2379.279975,15,2379.2675665,173.48750000019209,0.8488954520704733,0.9768032332261404,0.07412935607135292,0.989356517791748,0.0662770792841911,True,3,Mid|3,3.0,2379.447531,Left|1,Mid|3 -> Left|1,0.1675559999998768,Mid,Left
3,Left,2379.447531,20,2379.2675665,173.48750000019209,0.8488954520704733,0.263588547706604,0.1521044373512268,0.263588547706604,0.1521044373512268,True,1,Left|1,10.0,2381.525216,Mid|5,Left|1 -> Mid|5,2.0776850000002014,Left,Mid
11,Mid,2381.592239,84,2381.5955335,217.868499999895,1.282058765856609,0.4762321151793003,0.49526378884911537,0.4707008600234985,0.4836945831775665,True,5,Mid|5,11.0,2381.793305,Left|9,Mid|5 -> Left|9,0.20106600000008257,Mid,Left
11,Left,2381.793305,90,2381.5955335,217.868499999895,1.282058765856609,0.784314751625061,0.746782660484314,0.784314751625061,0.746782660484314,True,9,Left|9,12.0,2381.826816,Mid|5,Left|9 -> Mid|5,0.033510999999634805,Left,Mid
14,Mid,2382.161927,101,2382.164413,141.21099999965736,0.5690337280710016,0.5041661977767944,0.3575385987758636,0.5024534463882446,0.3512956798076629,True,5,Mid|5,15.0,2382.329482,Dashboard|3,Mid|5 -> Dashboard|3,0.16755499999999302,Mid,Dashboard
16,Dashboard,2382.430015,109,2382.430697,153.3150000004753,1.0133265789373034,0.6895034809907278,0.16343244289358455,0.668566882610321,0.2439633309841156,True,3,Dashboard|3,16.0,2382.497037,Left|3,Dashboard|3 -> Left|3,0.0670220000001791,Dashboard,Left
16,Left,2382.497037,111,2382.430697,153.3150000004753,1.0133265789373034,0.6869913339614868,0.3102638721466064,0.6869913339614868,0.3102638721466064,True,3,Left|3,21.0,2383.468858,Mid|5,Left|3 -> Mid|5,0.9718210000000909,Left,Mid
