pattern_id,proto_index,n_occurrences,area
1,7671,3833,1504949.358805254
2,17498,5403,825242.0209163281
3,25526,3906,726276.9875187653
4,3080,2960,193181.73820748623
5,4396,732,190255.6150183566
6,7791,574,171722.17252061842
7,15464,749,158831.5876946809
8,30085,840,159961.297333433
9,4007,744,164468.7897911187
10,17033,486,145803.69982717652
