surface,aoi_id,fixation_count,total_duration_ms,mean_duration_ms
Dashboard,Dashboard|4,2,242.07599999954255,121.03799999977127
Dashboard,Dashboard|5,25,4354.059499999494,174.16237999997975
Dashboard,Dashboard|6,2,363.1150000001071,181.55750000005355
Dashboard,Dashboard|7,5,653.6089999999604,130.72179999999207
Dashboard,Dashboard|8,5,676.2584999996761,135.25169999993523
Dashboard,Dashboard|9,6,1057.06900000132,176.17816666688668
Left,Left|1,2,298.56200000085664,149.28100000042832
Left,Left|2,3,552.7420000007623,184.24733333358745
Left,Left|3,3,520.4645000003438,173.48816666678127
Left,Left|5,2,435.7390000004671,217.86950000023356
Left,Left|6,1,217.86950000023356,217.86950000023356
Left,Left|7,1,181.55750000005355,181.55750000005355
Left,Left|8,3,564.8449999998775,188.28166666662582
Mid,Mid|1,5,790.7825000002049,158.15650000004098
Mid,Mid|2,9,1440.3580000007423,160.03977777786025
Mid,Mid|3,1,217.86900000006423,217.86900000006423
Mid,Mid|4,15,2945.2654999986407,196.35103333324273
Mid,Mid|5,935,196718.78849998937,210.39442620319718
Mid,Mid|6,4,637.4694999985877,159.36737499964693
Mid,Mid|7,1,92.79649999916728,92.79649999916728
Mid,Mid|8,1,181.55699999988428,181.55699999988428
Right,Right|1,33,6911.28949999802,209.43301515145515
Right,Right|2,19,4135.4764999978215,217.65665789462219
Right,Right|4,6,1206.350499999644,201.05841666660731
Right,Right|5,1,173.4889999997904,173.4889999997904
Right,Right|7,29,5983.325999998669,206.32158620685067
Right,Right|8,18,3690.1099999995495,205.00611111108608
Right,Right|9,2,435.73800000012847,217.86900000006423
