pattern_id,proto_index,n_occurrences,area
1,11649,2906,447228.9825639491
2,12997,784,66922.43569188773
3,10058,1053,64458.619197998705
4,6507,1000,62822.99809192108
5,5059,430,59594.04332926552
6,4670,454,57487.2064976188
7,3835,671,56720.43866764719
8,6925,637,54345.20330964121
9,2521,515,55069.54416975635
10,8166,328,51464.53564157088
