fixationid,aoi_id,world_timestamp
0,Dashboard|9,522967.863231
196,Mid|5,523045.41266
197,Mid|2,523046.1499
197,Dashboard|8,523046.1499
198,Right|7,523046.619052
199,Left|4,523047.791933
200,Left|2,523049.333433
202,Right|3,523050.908445
202,Left|2,523050.908445
203,Left|1,523051.612173
203,Right|1,523051.612173
204,Left|4,523052.24888
205,Left|5,523052.349413
206,Left|5,523052.449945
208,Mid|2,523053.823892
209,Mid|2,523054.058468
209,Dashboard|8,523054.058468
210,Mid|2,523055.465925
212,Dashboard|3,523056.638806
212,Left|2,523056.739338
214,Right|1,523057.476578
216,Dashboard|2,523062.50321
217,Dashboard|5,523062.704275
218,Left|1,523063.340982
219,Dashboard|6,523063.575558
219,Left|2,523063.609069
220,Dashboard|6,523063.810135
220,Left|1,523063.843646
222,Left|4,523064.580885
221,Left|4,523064.580885
227,Dashboard|1,523070.311246
228,Mid|2,523072.824562
229,Mid|2,523072.925095
230,Mid|2,523073.159671
231,Dashboard|7,523073.260203
231,Mid|2,523073.260203
232,Mid|4,523073.695845
233,Mid|1,523073.829888
233,Dashboard|7,523073.829888
234,Mid|1,523073.963932
235,Mid|1,523074.164997
235,Dashboard|7,523074.232019
236,Left|7,523074.969259
238,Left|7,523075.337878
240,Dashboard|7,523076.410226
240,Mid|2,523076.410226
240,Left|1,523076.577781
241,Mid|2,523076.611292
241,Left|1,523076.644803
242,Mid|2,523076.745335
243,Mid|7,523077.013422
244,Mid|1,523077.147466
245,Mid|1,523077.247999
246,Mid|1,523077.382042
247,Mid|1,523077.884705
248,Mid|1,523078.085771
249,Left|8,523078.655456
252,Dashboard|3,523081.403348
253,Dashboard|3,523081.503881
253,Left|5,523081.637924
254,Dashboard|2,523081.738457
255,Left|5,523081.973033
256,Dashboard|2,523082.107077
256,Left|4,523082.174098
257,Dashboard|2,523082.308142
258,Dashboard|9,523082.777294
258,Mid|2,523082.777294
258,Left|1,523082.911338
259,Dashboard|9,523082.944849
259,Mid|2,523082.944849
260,Mid|2,523083.179425
260,Left|2,523083.212936
261,Mid|2,523083.38049
261,Left|2,523083.414001
262,Mid|2,523083.883153
