fixationid,world_timestamp,world_index,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,aoi,next_fixation_id,next_world_timestamp,next_aoi
0,6860.038313,0,6859.969798,217.86900000006423,0.5954995775176259,0.5447686314582825,0.4708655998110771,0.514241635799408,0.493269681930542,True,5,1.0,6860.205869,5.0
1,6860.205869,5,6860.191702,217.868499999895,1.151721701061216,0.42942019551992416,0.48227741072575253,0.5285688042640686,0.4629945456981659,True,5,2.0,6860.406935,5.0
2,6860.406935,11,6860.413605,217.86950000023356,0.5941104896426777,0.41973864038785297,0.410930057366689,0.5003653168678284,0.4916078448295593,True,5,3.0,6860.641512,5.0
3,6860.641512,18,6860.635509,217.86900000006423,0.132539057511972,0.4311530093352,0.4900537431240082,0.5206498503684998,0.4779833257198334,True,5,4.0,6860.842579,5.0
4,6860.842579,24,6860.8574125,217.868499999895,0.2358085153427581,0.36386728783448535,0.559903750816981,0.4989281892776489,0.4980278611183166,True,5,5.0,6861.077156,5.0
5,6861.077156,31,6861.079315999999,217.86900000006423,0.1346022850523282,0.4146206925312678,0.5909900665283203,0.2908288538455963,0.7078143954277039,True,5,6.0,6861.311734,5.0
6,6861.311734,38,6861.3012195,217.86900000006423,0.233171364492978,0.398867592215538,0.5058970848719279,0.2853923439979553,0.7084431648254395,True,5,7.0,6861.5128,5.0
7,6861.5128,44,6861.523123,217.86949999932403,0.2894931983977967,0.47639257833361626,0.4577956050634384,0.2271792590618133,0.2403711676597595,True,5,8.0,6861.747377,5.0
8,6861.747377,51,6861.745027,217.868499999895,0.2094801688018358,0.5163382845265525,0.48041467155729023,0.5904112458229065,0.3980884850025177,True,5,9.0,6861.981955,5.0
9,6861.981955,58,6861.966930500001,217.868499999895,0.1232531755182301,0.37794051816066104,0.37418366720279056,0.4538620412349701,0.5371217131614685,True,5,10.0,6862.216532,5.0
10,6862.216532,65,6862.1888340000005,217.86900000006423,0.1103394390487985,0.5916154930988947,0.41700563331445056,0.6615186333656311,0.3403017818927765,True,5,11.0,6862.417599,5.0
11,6862.417599,71,6862.4107375,217.86900000006423,0.1355705247007073,0.45531511306762695,0.4310751408338547,0.4919344484806061,0.5435388088226318,True,5,12.0,6862.618665,5.0
12,6862.618665,77,6862.632641,217.86950000023356,0.0936008331351748,0.5766401290893555,0.41996344551444054,0.5333145260810852,0.4673046171665191,True,5,13.0,6862.853243,5.0
13,6862.853243,84,6862.854545,217.868499999895,0.1066537412296308,0.5417957827448845,0.45953733846545214,0.5410199165344238,0.4578698575496673,True,5,14.0,6863.08782,5.0
14,6863.08782,91,6863.076448,217.86950000023356,0.1353836794805002,0.5289400716622671,0.46543167531490326,0.5469022989273071,0.4515846371650696,True,5,15.0,6863.288886,5.0
15,6863.288886,97,6863.298352,217.86900000006423,0.3657749430047168,0.5706939498583475,0.4236571987469991,0.5108802318572998,0.4492141008377075,True,5,16.0,6863.523464,5.0
16,6863.523464,104,6863.5202555,217.86900000006423,0.1923934102592417,0.5391035377979279,0.4570544511079788,0.5453933477401733,0.4413890242576599,True,5,17.0,6863.758041,5.0
17,6863.758041,111,6863.742158999999,217.86950000023356,0.2165815989320639,0.40155856737068724,0.3952491645302091,0.5487875938415527,0.4380479156970978,True,5,18.0,6863.959108,5.0
18,6863.959108,117,6863.964062999999,217.868499999895,0.1001973269637175,0.4218130946159363,0.3629785001277923,0.5063830614089966,0.4600955545902252,True,5,19.0,6864.193685,5.0
19,6864.193685,124,6864.185966,217.86950000023356,0.1326277149214559,0.4555144203560693,0.369466170668602,0.54799884557724,0.4382447600364685,True,5,20.0,6864.394751,5.0
20,6864.394751,130,6864.40787,217.86900000006423,0.2865383484706466,0.46667375947747913,0.38179670912878855,0.5185768604278564,0.4525763392448425,True,5,21.0,6864.66284,5.0
21,6864.66284,138,6864.6297735,217.86900000006423,0.1912527132429065,0.4850676904122035,0.39536760002374643,0.2274872362613678,0.2194466441869735,True,5,22.0,6864.897417,5.0
22,6864.897417,145,6864.8516775,217.868499999895,0.0806268115510265,0.46498830368121463,0.41503796229759854,0.501471221446991,0.4629000425338745,True,5,23.0,6865.064973,5.0
23,6865.064973,150,6865.073581,217.8685000008045,0.1612418530093046,0.46622730578695026,0.36105640232563013,0.1979065239429474,0.1915905922651291,True,5,24.0,6865.29955,5.0
24,6865.29955,157,6865.2954845,217.86900000006423,0.1752680435435071,0.4585931215967451,0.35949413478374476,0.6193040609359741,0.3626206815242767,True,5,25.0,6865.534128,5.0
25,6865.534128,164,6865.517388,217.86900000006423,0.1198627338386395,0.41855063041051227,0.3564441700776418,0.3175373077392578,0.3127446174621582,True,5,26.0,6865.735194,2.0
26,6865.735194,170,6865.7392915,173.48800000036135,0.8674856325754202,0.376113361120224,0.29785386919975276,0.3230364918708801,0.2987691462039947,True,2,27.0,6865.902749,5.0
27,6865.902749,175,6865.9168145,217.86900000006423,0.5070030496139295,0.38062020142873126,0.3781958917776744,0.4927826523780823,0.4947004318237304,True,5,28.0,6866.271371,5.0
28,6866.271371,186,6866.138718,217.86900000006423,0.2271750452978155,0.3334195117155711,0.34051185846328735,0.3319708704948425,0.3357039391994476,True,5,29.0,6866.371904,5.0
29,6866.371904,189,6866.3606215,217.86950000023356,0.1134132648759426,0.33578602721293765,0.5019290099541346,0.3062576055526733,0.3162919580936432,True,5,30.0,6866.572971,5.0
30,6866.572971,195,6866.5825255,217.868499999895,0.3645445249837838,0.36958449830611545,0.4450298920273781,0.2051568925380706,0.8168568015098572,True,5,31.0,6866.841059,5.0
31,6866.841059,203,6866.8044285,217.86950000023356,0.1886440187376208,0.4570931096871694,0.41975654164950055,0.3526245653629303,0.3334572315216064,True,5,32.0,6867.042125,5.0
32,6867.042125,209,6867.0263325,217.86900000006423,0.2175815501105159,0.3967818170785904,0.5140619054436684,0.304005891084671,0.6995670795440674,True,5,33.0,6867.243192,5.0
33,6867.243192,215,6867.248236,217.8689999991548,0.1423083249309099,0.45876363664865494,0.5181726738810539,0.7969952821731567,0.7197421789169312,True,5,34.0,6867.477769,5.0
