AOI,Total_Duration_ms
Bottom-Left,49047.57749848068
Middle-Center,22512.578998459503
Bottom-Center,15093.113006092608
Middle-Right,14846.996001899242
Bottom-Right,13422.822003252804
Middle-Left,7847.128000576049
Top-Center,1742.9120000451805
Top-Left,1347.5260001141578
Top-Right,217.86299999803305
